case_id,case_name,tau,n,method,mean,range
3,Case 3: TVCQR (i.i.d. design),0.5,1000,screen-seq(2)(ft),2.1,0.79
3,Case 3: TVCQR (i.i.d. design),0.5,2000,screen-seq(2)(ft),16.0,6.6
3,Case 3: TVCQR (i.i.d. design),0.5,5000,screen-seq(2)(ft),272.5,106.7
3,Case 3: TVCQR (i.i.d. design),0.8,200,rq,0.26,0.044
3,Case 3: TVCQR (i.i.d. design),0.8,500,rq,1.0,0.52
3,Case 3: TVCQR (i.i.d. design),0.8,1000,rq,2.8,1.6
3,Case 3: TVCQR (i.i.d. design),0.8,2000,rq,9.7,4.4
3,Case 3: TVCQR (i.i.d. design),0.8,5000,rq,63.4,37.5
3,Case 3: TVCQR (i.i.d. design),0.8,200,seq,0.085,0.052
3,Case 3: TVCQR (i.i.d. design),0.8,500,seq,0.27,0.26
3,Case 3: TVCQR (i.i.d. design),0.8,1000,seq,0.87,0.47
3,Case 3: TVCQR (i.i.d. design),0.8,2000,seq,3.3,1.7
3,Case 3: TVCQR (i.i.d. design),0.8,5000,seq,15.7,10.3
3,Case 3: TVCQR (i.i.d. design),0.8,200,seq(ft),0.0033,0.0061
3,Case 3: TVCQR (i.i.d. design),0.8,500,seq(ft),0.017,0.18
3,Case 3: TVCQR (i.i.d. design),0.8,1000,seq(ft),0.068,0.022
3,Case 3: TVCQR (i.i.d. design),0.8,2000,seq(ft),0.75,0.63
3,Case 3: TVCQR (i.i.d. design),0.8,5000,seq(ft),2.9,2.5
3,Case 3: TVCQR (i.i.d. design),0.8,200,screen-seq(1),0.17,0.051
3,Case 3: TVCQR (i.i.d. design),0.8,500,screen-seq(1),0.57,0.19
3,Case 3: TVCQR (i.i.d. design),0.8,1000,screen-seq(1),2.2,2.1
3,Case 3: TVCQR (i.i.d. design),0.8,2000,screen-seq(1),10.8,13.2
3,Case 3: TVCQR (i.i.d. design),0.8,5000,screen-seq(1),224.3,1091.8
3,Case 3: TVCQR (i.i.d. design),0.8,200,screen-seq(2),0.19,0.12
3,Case 3: TVCQR (i.i.d. design),0.8,500,screen-seq(2),0.51,0.32
3,Case 3: TVCQR (i.i.d. design),0.8,1000,screen-seq(2),1.4,1.2
3,Case 3: TVCQR (i.i.d. design),0.8,2000,screen-seq(2),4.2,3.0
3,Case 3: TVCQR (i.i.d. design),0.8,5000,screen-seq(2),23.4,25.7
3,Case 3: TVCQR (i.i.d. design),0.8,200,screen-seq(1)(ft),0.023,0.012
3,Case 3: TVCQR (i.i.d. design),0.8,500,screen-seq(1)(ft),0.28,0.14
3,Case 3: TVCQR (i.i.d. design),0.8,1000,screen-seq(1)(ft),2.2,0.97
3,Case 3: TVCQR (i.i.d. design),0.8,2000,screen-seq(1)(ft),16.8,6.6
