"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
2,500,19,126859,35549,0.719775498782112
2,500,2,132066,33184,0.748731694758681
2,500,20,125121,39924,0.680916872467451
2,500,21,133638,40354,0.698034990047741
2,500,22,122613,36319,0.703791604479133
2,500,23,129662,32855,0.746610417855655
2,500,24,135799,39692,0.707715078903379
2,500,25,131033,38139,0.708935916906428
2,500,26,134192,39163,0.708156969118874
2,500,27,126988,37624,0.703720036538886
2,500,28,137523,37083,0.730350559542767
2,500,29,120929,38396,0.682491379239058
2,500,3,138325,39175,0.716790168082415
2,500,30,137067,35876,0.738259391392531
2,500,31,129283,40231,0.688814461298082
2,500,32,134388,35674,0.734544751019436
2,500,33,141489,38334,0.729067277314844
2,500,34,136265,39353,0.711202436429017
2,500,35,135279,37250,0.724643144907931
2,500,36,143209,41502,0.710199777946917
2,500,37,123845,40385,0.673906899753724
2,500,38,131378,38355,0.708056143342112
2,500,39,127354,36628,0.712392229533427
2,500,4,129512,36234,0.720226697140033
2,500,40,135944,37879,0.721363208379921
2,500,41,132533,38322,0.710849373363615
2,500,42,133693,37415,0.72014241583329
2,500,43,131804,39241,0.70227762435131
2,500,44,118307,35703,0.698217349776429
2,500,45,131572,34366,0.738804608883349
2,500,46,122827,36727,0.700985939573546
2,500,47,133312,35214,0.73585273643783
2,500,48,141921,38598,0.728031792335172
2,500,49,140513,39005,0.72241002611858
2,500,5,129618,37281,0.712377910475397
2,500,50,133514,36958,0.723190077445062
2,500,51,141862,36531,0.74248917962527
2,500,52,132342,40300,0.695485937948648
2,500,53,139646,36353,0.739677470174584
2,500,54,131129,38251,0.708294885189394
2,500,55,128597,33005,0.743345490174732
2,500,56,134467,40233,0.700796477946262
2,500,57,129888,37896,0.708240946045824
2,500,58,145410,37645,0.741111340347982
2,500,59,136263,39971,0.706662850517015
2,500,6,146082,38036,0.739625689681138
2,500,60,135688,34678,0.744428394552208
2,500,61,129939,34159,0.737115107858303
2,500,62,126203,35227,0.720870343811161
2,500,63,128372,37923,0.704585112018197
2,500,64,133567,36449,0.7271107384309
2,500,65,128344,34998,0.727310976749984
2,500,66,134349,38019,0.717013152312261
2,500,67,140097,38036,0.728502394769338
2,500,68,132509,34632,0.738644167565977
2,500,69,133509,38778,0.709547670943532
2,500,7,118688,36909,0.689025006740361
2,500,70,131874,35549,0.730432079105813
2,500,71,134126,41508,0.690529800336997
2,500,72,143306,39699,0.72297740499351
2,500,73,140463,38442,0.72631938660003
2,500,74,137994,39461,0.714038291519921
2,500,75,125665,35502,0.7174869693232
2,500,76,140841,36820,0.738570444685851
2,500,77,131769,36350,0.724138454416441
2,500,78,137762,36801,0.732865376518924
2,500,79,134793,40421,0.700125377430579
2,500,8,142725,39338,0.724379050621825
2,500,80,138403,39142,0.717188211238196
2,500,81,130051,39908,0.693135769813381
2,500,82,131436,36978,0.71866155391217
2,500,83,126711,39446,0.688693167917545
2,500,84,134377,36512,0.728286834800598
2,500,85,124594,39774,0.680771144677914
2,500,86,129926,35784,0.72458168495913
2,500,87,132928,37367,0.718892934520944
2,500,88,124968,38828,0.689296459893733
2,500,89,122935,38751,0.684784642290641
2,500,9,133262,35161,0.736151340967418
2,500,90,126597,37327,0.705150990939754
2,500,91,137090,40141,0.707192355386972
2,500,92,140792,37280,0.735212227967498
2,500,93,136526,39798,0.708495085185239
2,500,94,124573,37817,0.6964269946136
2,500,95,126006,36440,0.7108074218688
2,500,96,141684,35027,0.752780836227097
